"동별(1)",동별(2),동별(3),2015,2016,2017,2018,2019,2020,2021
"합계",동작구,신대방1동,-,11,10,...,11,...,...
"합계",동작구,신대방2동,-,7,7,...,6,...,...
"합계",동작구,흑석동,-,14,16,...,17,...,...
"합계",동작구,노량진1동,-,18,20,...,20,...,...
"합계",동작구,사당2동,-,12,12,...,11,...,...
"합계",관악구,소계,128,144,130,132,134,134,131
"합계",관악구,보라매동,-,-,4,4,4,4,...
"합계",관악구,청림동,-,-,5,5,5,5,...
"합계",관악구,행운동,-,-,7,7,7,7,...
"합계",관악구,낙성대동,-,-,4,4,4,4,...
"합계",관악구,중앙동,-,-,4,4,4,4,...
"합계",관악구,인헌동,-,-,7,7,7,7,...
"합계",관악구,남현동,-,-,3,3,3,3,...
"합계",관악구,서원동,-,-,6,6,6,6,...
"합계",관악구,신원동,-,-,5,5,5,5,...
"합계",관악구,서림동,-,-,4,5,5,5,...
"합계",관악구,신사동,-,-,3,3,4,4,...
"합계",관악구,신림동,-,-,4,4,4,4,...
"합계",관악구,난향동,-,-,10,10,10,10,...
"합계",관악구,조원동,-,-,4,4,4,4,...
"합계",관악구,대학동,-,-,4,4,4,4,...
"합계",관악구,은천동,-,-,10,10,10,10,...
"합계",관악구,성현동,-,-,10,9,9,9,...
"합계",관악구,청룡동,-,-,8,8,8,8,...
"합계",관악구,난곡동,-,-,7,8,8,8,...
"합계",관악구,삼성동,-,-,11,13,13,13,...
"합계",관악구,미성동,-,-,10,9,10,10,...
"합계",서초구,소계,145,146,145,149,152,151,145
"합계",서초구,서초1동,-,-,9,8,8,7,...
"합계",서초구,서초2동,-,-,4,5,5,5,...
"합계",서초구,서초3동,-,-,8,8,8,9,...
"합계",서초구,서초4동,-,-,9,9,10,10,...
"합계",서초구,잠원동,-,-,16,17,15,13,...
"합계",서초구,반포본동,-,-,2,2,2,2,...
"합계",서초구,반포1동,-,-,4,4,6,6,...
"합계",서초구,반포2동,-,-,3,5,4,4,...
"합계",서초구,반포3동,-,-,3,3,6,6,...
"합계",서초구,반포4동,-,-,7,7,7,7,...
"합계",서초구,방배본동,-,-,2,3,3,3,...
"합계",서초구,방배1동,-,-,5,5,5,5,...
"합계",서초구,방배2동,-,-,7,7,6,6,...
"합계",서초구,방배3동,-,-,12,11,11,11,...
"합계",서초구,방배4동,-,-,6,6,6,6,...
"합계",서초구,양재1동,-,-,26,26,27,27,...
"합계",서초구,양재2동,-,-,6,6,6,6,...
"합계",서초구,내곡동,-,-,16,17,17,18,...
"합계",강남구,소계,198,193,193,193,195,195,190
"합계",강남구,신사동,-,6,6,6,6,6,...
"합계",강남구,논현1동,-,5,5,5,5,5,...
"합계",강남구,논현2동,-,7,7,7,7,7,...
"합계",강남구,삼성1동,-,6,6,6,6,5,...
"합계",강남구,삼성2동,-,12,12,12,12,12,...
"합계",강남구,대치1동,-,9,11,11,11,11,...
"합계",강남구,대치4동,-,3,3,3,3,3,...
"합계",강남구,역삼1동,-,9,9,9,8,8,...
"합계",강남구,역삼2동,-,15,15,15,15,15,...
"합계",강남구,도곡1동,-,9,9,9,9,9,...
"합계",강남구,도곡2동,-,7,7,7,7,7,...
"합계",강남구,개포1동,-,6,4,3,3,3,...
"합계",강남구,개포4동,-,6,6,5,5,5,...
"합계",강남구,일원본동,-,11,11,11,11,11,...
"합계",강남구,일원1동,-,4,4,4,4,4,...
"합계",강남구,일원2동,-,9,9,9,10,10,...
"합계",강남구,수서동,-,9,9,9,10,10,...
"합계",강남구,세곡동,-,22,24,25,26,26,...
"합계",강남구,압구정동,-,7,7,7,7,7,...
"합계",강남구,청담동,-,13,13,14,14,14,...
"합계",강남구,대치2동,-,11,10,10,10,10,...
"합계",강남구,개포2동,-,7,6,6,6,7,...
"합계",송파구,소계,183,181,183,188,190,192,189
"합계",송파구,풍납1동,-,6,6,6,7,7,...
"합계",송파구,풍납2동,-,11,11,11,11,11,...
"합계",송파구,거여1동,-,8,8,8,8,8,...
"합계",송파구,거여2동,-,12,9,9,9,9,...
"합계",송파구,마천1동,-,10,11,11,11,11,...
"합계",송파구,마천2동,-,10,10,10,11,11,...
"합계",송파구,방이1동,-,5,5,5,5,5,...
"합계",송파구,방이2동,-,2,2,3,3,3,...
"합계",송파구,오륜동,-,3,3,3,3,3,...
"합계",송파구,오금동,-,14,14,15,16,15,...
"합계",송파구,송파1동,-,5,5,5,5,5,...
